Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
000:17:57.00, 484.313, 1460.55, 24.5454, 24.0789, 50.4896, 10174.4, 46.2126, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.473863, 0.311124, 0.0359961, 0, 1, 1, 1, 1, 8343.61
000:18:00.00, 481.426, 1453.21, 24.5046, 24.036, 50.4913, 10209, 46.2138, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.467104, 0.307231, 0.0362003, 0, 1, 1, 1, 1, 8358.62
000:18:03.00, 478.772, 1446.13, 24.4658, 23.9965, 50.4926, 10236.9, 46.2272, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.460666, 0.303432, 0.0364365, 0, 1, 1, 1, 1, 8372.51
000:18:06.00, 476.349, 1439.34, 24.4271, 23.9552, 50.4941, 10268.7, 46.2303, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.454564, 0.299747, 0.0366719, 0, 1, 1, 1, 1, 8386.78
000:18:09.00, 474.153, 1432.88, 24.3883, 23.9154, 50.495, 10295.7, 46.22, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.448802, 0.296189, 0.0368482, 0, 1, 1, 1, 1, 8397.58
000:18:12.00, 474.382, 1428.7, 24.3162, 23.5613, 50.5059, 10350, 46.2706, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.44556, 0.29375, 0.037228, 0, 1, 1, 1, 1, 8443.6
000:18:15.00, 478.002, 1431.2, 23.0716, 22.273, 50.4334, 9999.51, 45.8676, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.449519, 0.294648, 0.0367923, 0, 1, 1, 1, 1, 8317.04
000:18:18.00, 483.82, 1439.56, 22.3373, 21.8929, 50.3163, 9042.07, 44.3958, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.458965, 0.298513, 0.0331185, 0.0151613, 1, 1, 1, 1, 8131.41
000:18:21.00, 490.405, 1450.82, 22.4384, 22.201, 50.2037, 8309.03, 43.4459, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.471562, 0.303878, 0.0285557, 0.0319443, 1, 1, 1, 1, 8040.82
000:18:24.00, 494.464, 1459.49, 23.616, 23.7715, 50.2235, 8794.76, 44.2379, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.481378, 0.307999, 0.0291034, 0.0241128, 1, 1, 1, 1, 8048.06
