Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
003:33:00.00,502.561,1514.77,24.0016,23.7922,50.2187,6901.99,45.0142,1,1,1,1,1,1,1,1,1,1,1,1,0.851413,0.489074,0.0210649,0,1,1,1,1,7566.59
003:33:36.00,502.543,1515.12,24.002,23.7917,50.2195,6914.97,45.0154,1,1,1,1,1,1,1,1,1,1,1,1,0.852906,0.490149,0.0211026,0,1,1,1,1,7567.95
003:34:12.00,502.532,1515.43,24.0025,23.7914,50.2204,6928.04,45.0175,1,1,1,1,1,1,1,1,1,1,1,1,0.854404,0.491216,0.0211429,0,1,1,1,1,7569.33
003:34:48.00,502.527,1515.68,24.0032,23.7913,50.2212,6940.56,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.85591,0.492276,0.0211769,0,1,1,1,1,7570.7
003:35:24.00,502.526,1515.89,24.0031,23.7912,50.2218,6950.14,45.0161,1,1,1,1,1,1,1,1,1,1,1,1,0.857426,0.49333,0.021198,0,1,1,1,1,7571.83
003:36:00.00,502.531,1516.08,24.0017,23.7887,50.2224,6960.4,45.0143,1,1,1,1,1,1,1,1,1,1,1,1,0.858956,0.494383,0.0212293,0,1,1,1,1,7573.09
003:36:36.00,502.539,1516.23,24.0021,23.7883,50.2233,6973.43,45.0155,1,1,1,1,1,1,1,1,1,1,1,1,0.86049,0.495427,0.0212672,0,1,1,1,1,7574.5
003:37:12.00,502.544,1516.34,24.0025,23.7879,50.2241,6986.55,45.0176,1,1,1,1,1,1,1,1,1,1,1,1,0.862024,0.496463,0.0213075,0,1,1,1,1,7575.92
003:37:48.00,502.548,1516.44,24.0033,23.7879,50.2249,6999.08,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.86356,0.497493,0.0213416,0,1,1,1,1,7577.33
003:38:24.00,502.552,1516.52,24.0032,23.7877,50.2256,7008.72,45.0161,1,1,1,1,1,1,1,1,1,1,1,1,0.865098,0.498521,0.0213629,0,1,1,1,1,7578.51
003:39:00.00,502.557,1516.59,24.0017,23.7852,50.2262,7019.08,45.0144,1,1,1,1,1,1,1,1,1,1,1,1,0.866644,0.49955,0.0213945,0,1,1,1,1,7579.81
