Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
002:13:12.00, 501.159, 1507.51, 23.1953, 22.9477, 50.3196, 8765.31, 44.0337, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.582512, 0.347121, 0.0272735, 0.00715354, 1, 1, 1, 1, 7921.17
002:13:48.00, 501.649, 1507.28, 25.1207, 24.1553, 50.4954, 9947.88, 45.9798, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.586407, 0.347612, 0.0307581, 0, 1, 1, 1, 1, 8247.29
002:14:24.00, 504.139, 1504.78, 22.8732, 22.2977, 50.2755, 8141.55, 44.0387, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.589213, 0.346248, 0.0260938, 0.0028115, 1, 1, 1, 1, 7875.15
002:15:00.00, 497.918, 1494.45, 23.8782, 23.3782, 50.3835, 9438.49, 44.6202, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.577413, 0.341117, 0.0286503, 0, 1, 1, 1, 1, 8112.34
002:15:36.00, 500.494, 1505.03, 24.7991, 24.0865, 50.4233, 9642.29, 46.4733, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.586018, 0.346373, 0.03222, 0, 1, 1, 1, 1, 8215.09
002:16:12.00, 497.656, 1499.63, 22.9078, 22.3774, 50.3421, 9119.53, 44.3496, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.573365, 0.343416, 0.027918, 0.000864932, 1, 1, 1, 1, 8046
002:16:48.00, 501.671, 1499.95, 25.1316, 25.2218, 50.3311, 8948.71, 44.2681, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.583196, 0.343569, 0.0257173, 0.00114394, 1, 1, 1, 1, 8031.71
002:17:24.00, 506.34, 1515.84, 22.8937, 22.6988, 50.2745, 8232.26, 43.9594, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.595446, 0.351934, 0.0269726, 0.0185246, 1, 1, 1, 1, 7828.16
002:18:00.00, 502.007, 1504.26, 22.9854, 22.8094, 50.291, 8437.62, 44.1071, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5851, 0.346403, 0.0267038, 0.01212, 1, 1, 1, 1, 7869.91
002:18:36.00, 496.101, 1492.55, 23.069, 22.4741, 50.3499, 9051.12, 44.539, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.570094, 0.340433, 0.0276413, 0, 1, 1, 1, 1, 8011.88
002:19:12.00, 489.795, 1484.05, 23.8707, 23.2051, 50.396, 9399.06, 44.8321, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.555687, 0.33572, 0.0284566, 0, 1, 1, 1, 1, 8142.89
002:19:48.00, 499.026, 1502.76, 23.7557, 23.7694, 50.3047, 8973.37, 44.2764, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.573077, 0.344717, 0.0266214, 0.0195802, 1, 1, 1, 1, 7960.96
002:20:24.00, 500.408, 1502.63, 23.3364, 22.7434, 50.3591, 9132.62, 44.802, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.574292, 0.344759, 0.0287957, 0.000535628, 1, 1, 1, 1, 8004.91
002:21:00.00, 501.046, 1503.38, 24.633, 25.0752, 50.4168, 9620.96, 46.5799, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.579885, 0.345501, 0.0326227, 0.0117225, 1, 1, 1, 1, 8019.85
002:21:36.00, 502.462, 1502.8, 23.7154, 23.3888, 50.4207, 9690.27, 45.6996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.58017, 0.345097, 0.0316033, 0.00234151, 1, 1, 1, 1, 8093.02
002:22:12.00, 506.585, 1514.54, 25.8331, 25.5963, 50.4889, 9833.33, 45.8991, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.59373, 0.351289, 0.0297379, 0, 1, 1, 1, 1, 8226.7
