Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
005:12:00.00, 497.453, 1494.48, 23.6496, 23.0067, 50.5592, 11320.6, 44.9143, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.299881, 0.153746, 0.0361509, 0, 1, 1, 1, 1, 8751.11
005:12:36.00, 501.224, 1503.11, 23.9245, 23.3135, 50.5469, 11082.7, 44.8868, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307292, 0.158043, 0.0356299, 0, 1, 1, 1, 1, 8688.46
005:13:12.00, 501.139, 1503.9, 23.8047, 22.9389, 50.5505, 11172.7, 44.8705, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308023, 0.15865, 0.0355459, 0, 1, 1, 1, 1, 8733.84
005:13:48.00, 500.586, 1503.11, 24.1299, 23.7955, 50.5826, 11322.6, 45.0532, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307865, 0.158522, 0.0360106, 0.000147533, 1, 1, 1, 1, 8726.05
005:14:24.00, 504.14, 1505.27, 23.7383, 22.8579, 50.5513, 11184.8, 44.9184, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.316299, 0.15985, 0.0356733, 0, 1, 1, 1, 1, 8724.14
005:15:00.00, 498.918, 1495.6, 23.7444, 22.8464, 50.5668, 11359.8, 44.9713, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.306996, 0.155041, 0.0360425, 0, 1, 1, 1, 1, 8803.81
005:15:36.00, 500.44, 1498.6, 23.9334, 23.6566, 50.5484, 11100.2, 44.8371, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.30945, 0.156301, 0.0354599, 0, 1, 1, 1, 1, 8670.44
005:16:12.00, 499.077, 1501.5, 24.0844, 23.6699, 50.581, 11326.3, 45.0444, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.306841, 0.157826, 0.0362219, 0, 1, 1, 1, 1, 8731.1
005:16:48.00, 499.341, 1498.9, 23.9986, 23.7365, 50.5587, 11173.8, 44.8735, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.306569, 0.156507, 0.0355877, 0, 1, 1, 1, 1, 8697.26
005:17:24.00, 497.776, 1495.46, 24.0856, 23.7531, 50.5767, 11294.3, 45.0253, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.302251, 0.154591, 0.0361423, 0, 1, 1, 1, 1, 8727.97
